"7-Eleven, Inc.",3245 NW Expressway St,OK,Oklahoma City,73112
National Retail Properties LP,300 E Expressway 83,TX,Mercedes,785702727
GE Capital Franchise Finance Corporation,6780 W Expressway 83,TX,Harlingen,785523603
"Speedy Stop Food Stores, LLC",403 Fair Ave,TX,San Antonio,782231113
,2601 Faithon P Lucas Sr Blvd,TX,Mesquite,751811643
M.C. McClung,3314 N Fitzhugh Ave,TX,Dallas,75205
Triple T Farms Ltd,424 FM 156 S,TX,Haslet,76052
"7-Eleven, Inc.",6490 Fm 236,TX,Victoria,779052643
"7-Eleven, Inc.",900 FM 3009,TX,Schertz,78154
Zemanek Latierra Realty Llc,12121 Fm 306,TX,Canyon Lake,781334778
"7-Eleven, Inc.",8999 Fm 423,TX,Frisco,750348718
Michael B. Davis Trust,721 E FM 544,TX,Murphy,75094
"7-Eleven, Inc.",11518 N FM 620,TX,Austin,787261131
"MCB Real Estate, LLC",11065 FM 720,TX,Frisco,750356682
"7-Eleven, Inc.",9084 Fm 78,TX,Converse,78109
Forest & Marsh Ln Sc Ltd,3637 Forest Ln,TX,Dallas,752347921
Keithbev LLC,6550 Forest Hill Dr,TX,Forest Hill,76140
SEJ Asset Management & Inv Co,2500 Forest Park Blvd,TX,Fort Worth,761102221
"7-Eleven, Inc.",1219 S Fort Hood St,TX,Killeen,765421307
"Harman Brothers, LLC",2061 Fort Worth Ave,TX,Dallas,752081305
,915 Fort Worth Dr,TX,Denton,762055813
,4590 Frankford Rd,TX,Dallas,75287
"7-Eleven, Inc.",4938 Fredericksburg Rd,TX,San Antonio,78229
"7-Eleven, Inc.",1803 Galloway Ave,TX,Mesquite,75149
"7-Eleven, Inc.",2318 N Galloway Ave,TX,Mesquite,751505734
Stuckey Properties Llc,8912 Garland Rd,TX,Dallas,752183917
Sej Asset Management & Inv Co,10468 Garland Rd,TX,Dallas,752182925
,4104 Gaston Ave,TX,Dallas,75246
"7-Eleven, Inc.",9704 Giles Rd,TX,Austin,787549744
Goliad 711 Rockwall Llc,3250 N Goliad St,TX,Rockwall,750877133
RHOADS RHOADS AND COX,1815 S Goliad St,TX,Rockwall,75087
Pgq Ltd,4015 S Great Southwest Pky,TX,Grand Prairie,750523829
901 Ne Green Oaks Llc,901 NE Green Oaks Blvd,TX,Arlington,760062303
7-Eleven Inc,2500 SE Green Oaks Blvd,TX,Arlington,760181971
Aguerre Family Trust,4401 W Green Oaks Blvd,TX,Arlington,760165607
Greenville Penrose,3702 Greenville Ave,TX,Dallas,75206
Zaki Family Ptshp Lp,4747 Greenville Ave,TX,Dallas,75206
Johnston Ellen Strube,6881 Greenville Ave,TX,Dallas,752316403
Southland Corporation,100 N Greenville Ave,TX,Allen,750022236
"Dr. John Aivaz, DDS",1112 N Greenville Ave,TX,Allen,750028621
SEJ Asset Management & Inv Co,2600 Guadalupe St,TX,Austin,787054009
"7-Eleven, Inc.",3640 Gus Thomasson Rd,TX,Mesquite,751503660
"7-Eleven, Inc.",4901 Gus Thomasson Rd,TX,Mesquite,751501061
Billingsley Company,3200 Hackberry Rd,TX,Irving,75063
LV Management LLC,408 N Hampton Rd,TX,Dallas,752085515
Fellman Realty Management,1015-1023 S Hampton Rd,TX,Dallas,75208
H.S. Investments,5406 Harry Hines Blvd,TX,Dallas,75235
"7-Eleven, Inc.",8402 Harry Hines Blvd,TX,Dallas,752353006
11 Riverside Camarillo Texas 7,10998 Harry Hines Blvd,TX,Dallas,752201316
David Bunnell,724 Hebron Pky,TX,Lewisville,75057
Zepp Donald C,1545 W Hebron Pky,TX,Carrollton,750106336
,4645 Hedgcoxe,TX,Plano,75024
"7-Eleven, Inc.",1622 Hemphill St,TX,Fort Worth,761044707
National Retail Properties LP,1100 Henderson St,TX,Palacios,774653746
"Wirum Properties, L.L.C.",2441 Heritage Trace Pky,TX,Fort Worth,76177
